Title;Artist
 Arere;Banda Eva 
 Beleza Rara;Banda Eva 
 Eva;Banda Eva 
 Me Abraca E Me Beija;Banda Eva 
 Passinho Do Peter Pan;Banda Grafith 
 Amor, Amo Voce;Banda Magnificos 
 Apaixonada;Banda Magnificos 
 Chamego Ou Xaveco;Banda Magnificos 
 Cristal Quebrado;Banda Magnificos 
 Homem E Feito Lata;Banda Magnificos 
 Me Usa;Banda Magnificos 
 Meu Tesao E Voce;Banda Magnificos 
 Meu Tesao Eh Voce;Banda Magnificos 
 Um Anjo Do Ceu;Banda Maskavo 
 Menina Da Ladeira;Banda Mel 
 Ceu Completo;Banda Strike 
 Metralhadora;Banda Vingadora 
 A Chave Da Porta Da Frente;Barao Vermelho 
 Bete Balanco;Barao Vermelho 
 Declare Guerra;Barao Vermelho 
 Eclipse Oculto;Barao Vermelho 
 Eu Queria Ter Uma Bomba;Barao Vermelho 
 Malandragem Da Um Tempo;Barao Vermelho 
 Meus Bons Amigos;Barao Vermelho 
 O Poeta Esta Vivo;Barao Vermelho 
 Pedra Flor E Espinho;Barao Vermelho 
 Pense E Dance;Barao Vermelho 
 Por Voce;Barao Vermelho 
 Pro Dia Nascer Feliz;Barao Vermelho 
 Puro Extase;Barao Vermelho 
 Torre De Babel;Barao Vermelho 
 Emanuela;Barros De Alencar 
 De Que Vale A Minha Vida Agora;Barto Galeno 
 No Toca Fitas Do Meu Carro;Barto Galeno 
 Nosso Amor Ja Morreu;Barto Galeno 
 Novamente;Barto Galeno 
 So Lembrancas;Barto Galeno 
 Voce Deixou Alguem A Esperar;Barto Galeno 
 A Grande Pesca;Beatriz 
 A Beleza E Voce Menina;Bebeto 
 Menina Carolina;Bebeto 
 Minha Preta;Bebeto 
 Que Pena;Bebeto 
 A Palo Seco;Belchior 
 Medo De Aviao;Belchior 
 Paralelas;Belchior 
 Tudo Outra Vez;Belchior 
 Amor Bacana;Bell Marques 
 Voltei;Bell Marques 
 Faz Um Ano;Belmonte E Amarai 
 Mercedita;Belmonte E Amarai 
 Agenda;Belo 
 Desafio;Belo 
 Desse Jeito Eh Uim Pra Mim;Belo 
 Direito De Te Amar;Belo 
 Eternamente;Belo 
 Farol Das Estrelas;Belo 
 Intriga Da Oposicao;Belo 
 Lambada De Serpente;Belo 
 Para Com Esse Papo;Belo 
 Perfume;Belo 
 Reiventar;Belo 
 Tua Boca;Belo 
 Ve Se Me Entende;Belo 
 Amigo Do Sol Amigo Da Lua;Benito Di Paula 
 Beleza Que E Voce Mulher;Benito Di Paula 
 Charlie Brown;Benito Di Paula 
 Como Eu Amei;Benito Di Paula 
 Meto O Pe Na Porta;Benito Di Paula 
 Mulher Brasileira;Benito Di Paula 
 Nao Precisa Me Perdoar;Benito Di Paula 
 Poxa;Benito Di Paula 
 Protecao As Borboletas;Benito Di Paula 
 Retalhos De Cetim;Benito Di Paula 
 Se Nao For Por Amor;Benito Di Paula 
 Tudo Esta No Seu Lugar;Benito Di Paula 
 Vai Ficar Na Saudade;Benito Di Paula 
 Voce Vai Ficar Na Saudade;Benito Di Paula 
 Andancas;Beth Carvalho 
 Coisinha Do Pai;Beth Carvalho 
 Vou Festejar;Beth Carvalho 
 Ainda E Tempo De Ser Feliz;Beth Carvalho E Zeca Pagodinho 
Adocica;Beto Barbosa
Preta;Beto Barbosa
 Adocica;Beto Barbosa 
 Preta;Beto Barbosa 
 Voce Errou Mais Do Que Eu;Beto Barbosa 
 O Sal Da Terra;Beto Guedes 
 Quando Te Vi;Beto Guedes 
